time	 	approx solution 	 exact solution
0.00000e+00	1.00000e+00		1.00000e+00
2.00000e-02	9.99799e-01		9.99800e-01
4.00000e-02	9.99197e-01		9.99200e-01
6.00000e-02	9.98197e-01		9.98202e-01
8.00000e-02	9.96799e-01		9.96805e-01
1.00000e-01	9.95005e-01		9.95012e-01
1.20000e-01	9.92817e-01		9.92826e-01
1.40000e-01	9.90238e-01		9.90248e-01
1.60000e-01	9.87270e-01		9.87282e-01
1.80000e-01	9.83918e-01		9.83931e-01
2.00000e-01	9.80185e-01		9.80199e-01
2.20000e-01	9.76075e-01		9.76090e-01
2.40000e-01	9.71595e-01		9.71611e-01
2.60000e-01	9.66747e-01		9.66765e-01
2.80000e-01	9.61540e-01		9.61558e-01
3.00000e-01	9.55978e-01		9.55997e-01
3.20000e-01	9.50068e-01		9.50089e-01
3.40000e-01	9.43817e-01		9.43839e-01
3.60000e-01	9.37232e-01		9.37255e-01
3.80000e-01	9.30321e-01		9.30345e-01
4.00000e-01	9.23092e-01		9.23116e-01
4.20000e-01	9.15552e-01		9.15578e-01
4.40000e-01	9.07711e-01		9.07738e-01
4.60000e-01	8.99577e-01		8.99605e-01
4.80000e-01	8.91160e-01		8.91188e-01
5.00000e-01	8.82468e-01		8.82497e-01
5.20000e-01	8.73512e-01		8.73541e-01
5.40000e-01	8.64301e-01		8.64331e-01
5.60000e-01	8.54844e-01		8.54875e-01
5.80000e-01	8.45153e-01		8.45185e-01
6.00000e-01	8.35238e-01		8.35270e-01
6.20000e-01	8.25109e-01		8.25142e-01
6.40000e-01	8.14777e-01		8.14810e-01
6.60000e-01	8.04253e-01		8.04286e-01
6.80000e-01	7.93547e-01		7.93581e-01
7.00000e-01	7.82670e-01		7.82705e-01
7.20000e-01	7.71634e-01		7.71669e-01
7.40000e-01	7.60450e-01		7.60484e-01
7.60000e-01	7.49127e-01		7.49162e-01
7.80000e-01	7.37678e-01		7.37713e-01
8.00000e-01	7.26114e-01		7.26149e-01
8.20000e-01	7.14445e-01		7.14480e-01
8.40000e-01	7.02683e-01		7.02718e-01
8.60000e-01	6.90837e-01		6.90872e-01
8.80000e-01	6.78920e-01		6.78955e-01
9.00000e-01	6.66942e-01		6.66977e-01
9.20000e-01	6.54913e-01		6.54948e-01
9.40000e-01	6.42844e-01		6.42878e-01
9.60000e-01	6.30745e-01		6.30779e-01
9.80000e-01	6.18626e-01		6.18660e-01
1.00000e+00	6.06498e-01		6.06531e-01
1.02000e+00	5.94369e-01		5.94402e-01
1.04000e+00	5.82251e-01		5.82282e-01
1.06000e+00	5.70151e-01		5.70182e-01
1.08000e+00	5.58080e-01		5.58110e-01
1.10000e+00	5.46046e-01		5.46074e-01
1.12000e+00	5.34058e-01		5.34085e-01
1.14000e+00	5.22124e-01		5.22150e-01
1.16000e+00	5.10253e-01		5.10278e-01
1.18000e+00	4.98452e-01		4.98476e-01
1.20000e+00	4.86730e-01		4.86752e-01
1.22000e+00	4.75093e-01		4.75114e-01
1.24000e+00	4.63549e-01		4.63569e-01
1.26000e+00	4.52105e-01		4.52123e-01
1.28000e+00	4.40767e-01		4.40784e-01
1.30000e+00	4.29541e-01		4.29557e-01
1.32000e+00	4.18434e-01		4.18449e-01
1.34000e+00	4.07451e-01		4.07465e-01
1.36000e+00	3.96598e-01		3.96611e-01
1.38000e+00	3.85880e-01		3.85891e-01
1.40000e+00	3.75301e-01		3.75311e-01
1.42000e+00	3.64866e-01		3.64875e-01
1.44000e+00	3.54580e-01		3.54588e-01
1.46000e+00	3.44446e-01		3.44452e-01
1.48000e+00	3.34467e-01		3.34473e-01
1.50000e+00	3.24648e-01		3.24652e-01
1.52000e+00	3.14992e-01		3.14995e-01
1.54000e+00	3.05500e-01		3.05502e-01
1.56000e+00	2.96175e-01		2.96176e-01
1.58000e+00	2.87021e-01		2.87021e-01
1.60000e+00	2.78038e-01		2.78037e-01
1.62000e+00	2.69229e-01		2.69227e-01
1.64000e+00	2.60594e-01		2.60592e-01
1.66000e+00	2.52136e-01		2.52133e-01
1.68000e+00	2.43855e-01		2.43850e-01
1.70000e+00	2.35751e-01		2.35746e-01
1.72000e+00	2.27826e-01		2.27820e-01
1.74000e+00	2.20079e-01		2.20072e-01
1.76000e+00	2.12510e-01		2.12503e-01
1.78000e+00	2.05120e-01		2.05112e-01
1.80000e+00	1.97907e-01		1.97899e-01
1.82000e+00	1.90872e-01		1.90863e-01
1.84000e+00	1.84013e-01		1.84004e-01
1.86000e+00	1.77330e-01		1.77320e-01
1.88000e+00	1.70821e-01		1.70811e-01
1.90000e+00	1.64486e-01		1.64474e-01
1.92000e+00	1.58322e-01		1.58310e-01
1.94000e+00	1.52328e-01		1.52316e-01
1.96000e+00	1.46502e-01		1.46490e-01
1.98000e+00	1.40843e-01		1.40830e-01
2.00000e+00	1.35348e-01		1.35335e-01

...and done!
