Adobe(12): 1      Two Sum,29.8%,Easy
Adobe(12): 2,Add Two Numbers,26.2%,Medium
Adobe(12): 3,Longest Substring Without Repeating Characters,23.7%,Medium
Adobe(12): 4,Median of Two Sorted Arrays,20.8%,Hard
Adobe(12): 15,3Sum,20.9%,Medium
Adobe(12): 70,Climbing Stairs,38.6%,Easy
Adobe(12): 169,Majority Element,44.8%,Easy
Adobe(12): 195,Tenth Line,32.1%,Easy
Adobe(12): 206,Reverse Linked List,43.4%,Easy
Adobe(12): 237,Delete Node in a Linked List,45.4%,Easy
Adobe(12): 258,Add Digits,50.2%,Easy
Adobe(12): 292,Nim Game,54.6%,Easy


Airbnb(23): 1,Two Sum,29.8%,Easy
Airbnb(23): 2,Add Two Numbers,26.2%,Medium
Airbnb(23): 10,Regular Expression Matching,23.5%,Hard
Airbnb(23): 20,Valid Parentheses,32.1%,Easy
Airbnb(23): 23,Merge k Sorted Lists,25.9%,Hard
Airbnb(23): 68,Text Justification,18.1%,Hard
Airbnb(23): 108,Convert Sorted Array to Binary Search Tree,40.3%,Medium
Airbnb(23): 136,Single Number,52.7%,Easy
Airbnb(23): 160,Intersection of Two Linked Lists,30.0%,Easy
Airbnb(23): 190,Reverse Bits,29.5%,Easy
Airbnb(23): 198,House Robber,37.4%,Easy
Airbnb(23): 202,Happy Number,39.2%,Easy
Airbnb(23): 212,Word Search II,22.2%,Hard
Airbnb(23): 217,Contains Duplicate,43.6%,Easy
Airbnb(23): 219,Contains Duplicate II,31.5%,Easy
Airbnb(23): 220,Contains Duplicate III,19.5%,Medium
Airbnb(23): 221,Maximal Square,27.0%,Medium
Airbnb(23): 227,Basic Calculator II,28.0%,Medium
Airbnb(23): 251,Flatten 2D Vector, 38.7%,Medium
Airbnb(23): 269,Alien Dictionary, 22.4%,Hard
Airbnb(23): 336,Palindrome Pairs,24.7%,Hard
Airbnb(23): 385,Mini Parser,29.7%,Medium
Airbnb(23): 415,Add Strings,41.2%,Easy


Amazon(53): 1,Two Sum,29.8%,Easy
Amazon(53): 2,Add Two Numbers,26.2%,Medium
Amazon(53): 3,Longest Substring Without Repeating Characters,23.7%,Medium
Amazon(53): 5,Longest Palindromic Substring,24.5%,Medium
Amazon(53): 8,String to Integer (atoi),13.8%,Easy
Amazon(53): 15,3Sum,20.9%,Medium
Amazon(53): 17,Letter Combinations of a Phone Number,32.4%,Medium
Amazon(53): 20,Valid Parentheses,32.1%,Easy
Amazon(53): 21,Merge Two Sorted Lists,37.9%,Easy
Amazon(53): 23,Merge k Sorted Lists,25.9%,Hard
Amazon(53): 42,Trapping Rain Water,35.3%,Hard
Amazon(53): 48,Rotate Image,37.1%,Medium
Amazon(53): 49,Group Anagrams,31.8%,Medium
Amazon(53): 73,Set Matrix Zeroes,35.1%,Medium
Amazon(53): 78,Subsets,36.6%,Medium
Amazon(53): 89,Gray Code,39.3%,Medium
Amazon(53): 98,Validate Binary Search Tree,22.3%,Medium
Amazon(53): 102,Binary Tree Level Order Traversal,36.9%,Easy
Amazon(53): 119,Pascal's Triangle II,35.0%,Easy
Amazon(53): 121,Best Time to Buy and Sell Stock,39.1%,Easy
Amazon(53): 126,Word Ladder II,13.6%,Hard
Amazon(53): 127,Word Ladder,19.3%,Medium
Amazon(53): 138,Copy List with Random Pointer,26.6%,Hard
Amazon(53): 139,Word Break,28.2%,Medium
